,movie_id,cast_id,character,credit_id,gender,actor_id,name,order,new_actor_id,new_movie_id
0,19995,242,Jake Sully,5602a8a7c3a3685532001c9a,2,65731,Sam Worthington,0,0,1646
1,19995,3,Neytiri,52fe48009251416c750ac9cb,1,8691,Zoe Saldana,1,1,1646
2,19995,25,Dr. Grace Augustine,52fe48009251416c750aca39,1,10205,Sigourney Weaver,2,2,1646
3,19995,5,Trudy Chacon,52fe48009251416c750ac9d3,1,17647,Michelle Rodriguez,4,3,1646
4,19995,8,Selfridge,52fe48009251416c750ac9e1,2,1771,Giovanni Ribisi,5,4,1646
5,534,6,Marcus Wright,52fe424ec3a36847f8013fcd,2,65731,Sam Worthington,1,0,282
6,534,18,John Connor,52fe424ec3a36847f8013ff7,2,3894,Christian Bale,0,20,282
7,534,14,Kate Connor,52fe424ec3a36847f8013fef,1,18997,Bryce Dallas Howard,4,48,282
8,534,4,Serena,52fe424ec3a36847f8013fc5,1,1283,Helena Bonham Carter,5,80,282
9,534,3,Kyle Reese,52fe424ec3a36847f8013fc1,2,21028,Anton Yelchin,2,270,282
10,534,5,Barnes,52fe424ec3a36847f8013fc9,0,4238,Common,6,271,282
11,534,74,The Terminator,59328bd1c3a36859ef00a00c,2,1100,Arnold Schwarzenegger,14,272,282
12,57165,4,Perseus,52fe4926c3a36847f818b907,2,65731,Sam Worthington,0,0,2770
13,57165,7,Hephaestus,52fe4926c3a36847f818b913,2,2440,Bill Nighy,6,9,2770
14,57165,6,Hades,52fe4926c3a36847f818b90f,2,5469,Ralph Fiennes,2,17,2770
15,57165,3,Zeus,52fe4926c3a36847f818b903,2,3896,Liam Neeson,1,29,2770
16,57165,8,Poseidon,52fe4926c3a36847f818b917,2,6413,Danny Huston,7,152,2770
17,57165,10,Argenor,52fe4926c3a36847f818b91f,2,20286,Toby Kebbell,4,299,2770
18,57165,5,Andromeda,52fe4926c3a36847f818b90b,1,10882,Rosamund Pike,5,512,2770
19,18823,1,Perseus,52fe479e9251416c7509fe41,2,65731,Sam Worthington,0,0,1235
20,18823,3,Hades,52fe479e9251416c7509fe45,2,5469,Ralph Fiennes,2,17,1235
21,18823,23,Zeus,52fe479e9251416c7509fead,2,3896,Liam Neeson,1,29,1235
22,18823,45,Poseidon,52fe479f9251416c7509ff0f,2,6413,Danny Huston,23,152,1235
23,18823,32,Spyros,52fe479e9251416c7509fedb,2,4935,Pete Postlethwaite,18,436,1235
24,18823,16,Calibos / Acrisius,52fe479e9251416c7509fe91,2,973,Jason Flemyng,4,438,1235
25,10592,40,as Cpl. B.J. 'Depot' Guidry,52fe438f9251416c7501522f,2,65731,Sam Worthington,19,0,1221
26,10592,22,Lt. Lincoln A. Scott,52fe438f9251416c750151e5,2,18288,Terrence Howard,2,351,1221
27,10592,20,Lt. Thomas W. Hart,52fe438f9251416c750151db,2,72466,Colin Farrell,1,474,1221
28,10592,19,Col. William A. McNamara,52fe438f9251416c750151d7,2,62,Bruce Willis,0,548,1221
29,10592,24,Staff Sgt. Vic W. Bedford,52fe438f9251416c750151ed,2,6614,Cole Hauser,4,747,1221
30,253412,9,Guy Cotter,5331a58e9251410b41001920,2,65731,Sam Worthington,4,0,2704
