,movie_id,genre_id,genre,new_genre_id,new_movie_id
0,19995,28,Action,0,1646
1,19995,12,Adventure,1,1646
2,19995,14,Fantasy,2,1646
3,19995,878,Science Fiction,3,1646
4,285,28,Action,0,163
5,285,12,Adventure,1,163
6,285,14,Fantasy,2,163
7,206647,28,Action,0,948
8,206647,12,Adventure,1,948
9,206647,80,Crime,4,948
10,49026,28,Action,0,2796
11,49026,80,Crime,4,2796
12,49026,18,Drama,5,2796
13,49026,53,Thriller,6,2796
14,49529,28,Action,0,203
15,49529,12,Adventure,1,203
16,49529,878,Science Fiction,3,203
17,559,28,Action,0,293
18,559,12,Adventure,1,293
19,559,14,Fantasy,2,293
20,99861,28,Action,0,788
21,99861,12,Adventure,1,788
22,99861,878,Science Fiction,3,788
23,209112,28,Action,0,1855
24,209112,12,Adventure,1,1855
25,209112,14,Fantasy,2,1855
26,1452,28,Action,0,741
27,1452,12,Adventure,1,741
28,1452,14,Fantasy,2,741
29,1452,878,Science Fiction,3,741
30,10764,28,Action,0,1290
31,10764,12,Adventure,1,1290
32,10764,80,Crime,4,1290
33,10764,53,Thriller,6,1290
34,58,28,Action,0,24
35,58,12,Adventure,1,24
36,58,14,Fantasy,2,24
37,57201,28,Action,0,2785
38,57201,12,Adventure,1,2785
39,57201,37,Western,9,2785
40,49521,28,Action,0,198
41,49521,12,Adventure,1,198
42,49521,14,Fantasy,2,198
43,49521,878,Science Fiction,3,198
44,24428,28,Action,0,2783
45,24428,12,Adventure,1,2783
46,24428,878,Science Fiction,3,2783
47,1865,28,Action,0,957
48,1865,12,Adventure,1,957
49,1865,14,Fantasy,2,957
50,41154,28,Action,0,112
51,41154,878,Science Fiction,3,112
52,41154,35,Comedy,10,112
53,122917,28,Action,0,19
54,122917,12,Adventure,1,19
55,122917,14,Fantasy,2,19
56,1930,28,Action,0,1576
57,1930,12,Adventure,1,1576
58,1930,14,Fantasy,2,1576
59,20662,28,Action,0,1848
60,20662,12,Adventure,1,1848
61,254,28,Action,0,145
62,254,12,Adventure,1,145
63,254,18,Drama,5,145
64,271110,28,Action,0,424
65,271110,12,Adventure,1,424
66,271110,878,Science Fiction,3,424
67,44833,28,Action,0,1716
68,44833,12,Adventure,1,1716
69,44833,878,Science Fiction,3,1716
70,44833,53,Thriller,6,1716
71,135397,28,Action,0,1858
72,135397,12,Adventure,1,1858
73,135397,878,Science Fiction,3,1858
74,135397,53,Thriller,6,1858
75,37724,28,Action,0,2036
76,37724,12,Adventure,1,2036
77,37724,53,Thriller,6,2036
78,558,28,Action,0,292
79,558,12,Adventure,1,292
80,558,14,Fantasy,2,292
81,68721,28,Action,0,1340
82,68721,12,Adventure,1,1340
83,68721,878,Science Fiction,3,1340
84,36668,28,Action,0,1729
85,36668,12,Adventure,1,1729
86,36668,878,Science Fiction,3,1729
87,36668,53,Thriller,6,1729
88,8373,28,Action,0,103
89,8373,12,Adventure,1,103
90,8373,878,Science Fiction,3,103
91,91314,28,Action,0,617
92,91314,12,Adventure,1,617
93,91314,878,Science Fiction,3,617
94,102382,28,Action,0,1791
95,102382,12,Adventure,1,1791
96,102382,14,Fantasy,2,1791
97,20526,28,Action,0,1810
98,20526,12,Adventure,1,1810
99,20526,878,Science Fiction,3,1810
100,44912,28,Action,0,1753
101,44912,12,Adventure,1,1753
102,44912,878,Science Fiction,3,1753
103,44912,53,Thriller,6,1753
104,534,28,Action,0,282
105,534,878,Science Fiction,3,282
106,534,53,Thriller,6,282
107,168259,28,Action,0,1885
108,72190,28,Action,0,2454
109,72190,878,Science Fiction,3,2454
110,72190,18,Drama,5,2454
111,72190,53,Thriller,6,2454
112,72190,27,Horror,12,2454
113,127585,28,Action,0,1968
114,127585,12,Adventure,1,1968
115,127585,14,Fantasy,2,1968
116,127585,878,Science Fiction,3,1968
117,54138,28,Action,0,2046
118,54138,12,Adventure,1,2046
119,54138,878,Science Fiction,3,2046
120,81005,28,Action,0,2599
121,81005,14,Fantasy,2,2599
122,81005,10751,Family,8,2599
123,9543,28,Action,0,686
124,9543,12,Adventure,1,686
125,9543,14,Fantasy,2,686
126,9543,10749,Romance,11,686
127,68726,28,Action,0,1515
128,68726,12,Adventure,1,1515
129,68726,878,Science Fiction,3,1515
130,38356,28,Action,0,2179
131,38356,12,Adventure,1,2179
132,38356,878,Science Fiction,3,2179
133,217,28,Action,0,124
134,217,12,Adventure,1,124
135,62177,28,Action,0,1988
136,62177,12,Adventure,1,1988
137,62177,14,Fantasy,2,1988
138,62177,16,Animation,7,1988
139,62177,10751,Family,8,1988
140,62177,35,Comedy,10,1988
141,188927,28,Action,0,271
142,188927,12,Adventure,1,271
143,188927,878,Science Fiction,3,271
144,5174,28,Action,0,2081
145,5174,80,Crime,4,2081
146,5174,53,Thriller,6,2081
147,5174,35,Comedy,10,2081
148,14161,28,Action,0,2281
149,14161,12,Adventure,1,2281
150,14161,878,Science Fiction,3,2281
151,76757,28,Action,0,1452
152,76757,12,Adventure,1,1452
153,76757,14,Fantasy,2,1452
154,76757,878,Science Fiction,3,1452
155,258489,28,Action,0,1917
156,258489,12,Adventure,1,1917
157,155,28,Action,0,83
158,155,80,Crime,4,83
159,155,18,Drama,5,83
160,155,53,Thriller,6,83
161,1726,28,Action,0,882
162,1726,12,Adventure,1,882
163,1726,878,Science Fiction,3,882
164,8487,28,Action,0,165
165,8487,12,Adventure,1,165
166,8487,878,Science Fiction,3,165
167,8487,37,Western,9,165
168,8487,35,Comedy,10,165
169,1735,28,Action,0,889
170,1735,12,Adventure,1,889
171,1735,14,Fantasy,2,889
172,297761,28,Action,0,1376
173,297761,12,Adventure,1,1376
174,297761,14,Fantasy,2,1376
175,297761,878,Science Fiction,3,1376
176,297761,80,Crime,4,1376
177,137113,28,Action,0,2302
178,137113,878,Science Fiction,3,2302
179,9804,28,Action,0,822
180,9804,12,Adventure,1,822
181,14869,28,Action,0,2461
182,14869,12,Adventure,1,2461
183,14869,878,Science Fiction,3,2461
184,14869,53,Thriller,6,2461
185,10138,28,Action,0,1007
186,10138,12,Adventure,1,1007
187,10138,878,Science Fiction,3,1007
188,102651,28,Action,0,1862
189,102651,12,Adventure,1,1862
190,102651,14,Fantasy,2,1862
191,102651,10751,Family,8,1862
192,102651,10749,Romance,11,1862
193,119450,28,Action,0,1977
194,119450,878,Science Fiction,3,1977
195,119450,18,Drama,5,1977
196,119450,53,Thriller,6,1977
197,64686,28,Action,0,2621
198,64686,12,Adventure,1,2621
199,64686,14,Fantasy,2,2621
200,64686,18,Drama,5,2621
201,100402,28,Action,0,1088
202,100402,12,Adventure,1,1088
203,100402,878,Science Fiction,3,1088
204,177572,28,Action,0,2166
205,177572,12,Adventure,1,2166
206,177572,16,Animation,7,2166
207,177572,10751,Family,8,2166
208,177572,35,Comedy,10,2166
209,47933,28,Action,0,2261
210,47933,12,Adventure,1,2261
211,47933,878,Science Fiction,3,2261
212,296,28,Action,0,1620
213,296,878,Science Fiction,3,1620
214,296,53,Thriller,6,1620
215,118340,28,Action,0,1660
216,118340,12,Adventure,1,1660
