,movie_id,id,name,new_movie_id
0,19995,289,Ingenious Film Partners,1646
1,19995,306,Twentieth Century Fox Film Corporation,1646
2,19995,444,Dune Entertainment,1646
3,19995,574,Lightstorm Entertainment,1646
4,285,2,Walt Disney Pictures,163
5,285,130,Jerry Bruckheimer Films,163
6,285,19936,Second Mate Productions,163
7,206647,5,Columbia Pictures,948
8,206647,10761,Danjaq,948
9,206647,69434,B24,948
10,49026,923,Legendary Pictures,2796
11,49026,6194,Warner Bros.,2796
12,49026,9993,DC Entertainment,2796
13,49026,9996,Syncopy,2796
14,49529,2,Walt Disney Pictures,203
15,559,5,Columbia Pictures,293
16,559,326,Laura Ziskin Productions,293
17,559,19551,Marvel Enterprises,293
18,38757,2,Walt Disney Pictures,2288
19,38757,6125,Walt Disney Animation Studios,2288
20,99861,420,Marvel Studios,788
21,99861,15357,Prime Focus,788
22,99861,76043,Revolution Sun Studios,788
23,767,6194,Warner Bros.,417
24,767,7364,Heyday Films,417
25,209112,429,DC Comics,1855
26,209112,507,Atlas Entertainment,1855
27,209112,6194,Warner Bros.,1855
28,209112,9993,DC Entertainment,1855
29,209112,9995,Cruel & Unusual Films,1855
30,209112,41624,RatPac-Dune Entertainment,1855
31,1452,429,DC Comics,741
32,1452,923,Legendary Pictures,741
33,1452,6194,Warner Bros.,741
34,1452,9168,Bad Hat Harry Productions,741
35,10764,7576,Eon Productions,1290
36,58,2,Walt Disney Pictures,24
37,58,130,Jerry Bruckheimer Films,24
38,58,19936,Second Mate Productions,24
39,57201,2,Walt Disney Pictures,2785
40,57201,130,Jerry Bruckheimer Films,2785
41,57201,2691,Infinitum Nihil,2785
42,57201,37380,Silver Bullet Productions (II),2785
43,57201,37381,Blind Wink Productions,2785
44,57201,37382,Classic Media,2785
45,49521,923,Legendary Pictures,198
46,49521,6194,Warner Bros.,198
47,49521,9993,DC Entertainment,198
48,49521,9996,Syncopy,198
49,49521,78685,Cruel and Unusual Films,198
50,2454,5888,Walt Disney,1242
51,2454,10221,Walden Media,1242
52,2454,11345,Stillking Films,1242
53,2454,11440,Ozumi Films,1242
54,2454,11441,Propeler,1242
55,2454,11442,Silverbell Films,1242
56,2454,76043,Revolution Sun Studios,1242
57,24428,4,Paramount Pictures,2783
58,24428,420,Marvel Studios,2783
59,1865,2,Walt Disney Pictures,957
60,1865,130,Jerry Bruckheimer Films,957
61,1865,20478,Moving Picture Company (MPC),957
62,41154,56,Amblin Entertainment,112
63,41154,5627,Media Magik Entertainment,112
64,41154,6736,Imagenation Abu Dhabi FZ,112
65,41154,9169,Hemisphere Media Capital,112
66,41154,11084,Parkes/MacDonald Productions,112
67,122917,11,WingNut Films,19
68,122917,12,New Line Cinema,19
69,122917,174,Warner Bros. Pictures,19
70,122917,7413,3Foot7,19
71,122917,8411,Metro-Goldwyn-Mayer (MGM),19
72,1930,5,Columbia Pictures,1576
73,1930,326,Laura Ziskin Productions,1576
74,1930,7505,Marvel Entertainment,1576
75,20662,23,Imagine Entertainment,1848
76,20662,33,Universal Pictures,1848
77,20662,1645,Scott Free Productions,1848
78,20662,7295,Relativity Media,1848
79,57158,11,WingNut Films,2765
80,57158,12,New Line Cinema,2765
81,57158,174,Warner Bros. Pictures,2765
82,57158,8411,Metro-Goldwyn-Mayer (MGM),2765
83,2268,12,New Line Cinema,1164
84,2268,289,Ingenious Film Partners,1164
85,2268,1473,Depth of Field,1164
86,2268,1938,Scholastic Productions,1164
87,254,11,WingNut Films,145
88,254,33,Universal Pictures,145
89,254,68,Big Primate Pictures,145
90,254,69,MFPV Film,145
91,597,4,Paramount Pictures,311
92,597,306,Twentieth Century Fox Film Corporation,311
93,597,574,Lightstorm Entertainment,311
94,271110,264,Studio Babelsberg,424
