,movie_id,iso_639_1,name,new_lang_id,new_movie_id
0,19995,en,English,0,1646
1,19995,es,Español,1,1646
2,285,en,English,0,163
3,206647,en,English,0,948
4,206647,es,Español,1,948
5,206647,fr,Français,2,948
6,206647,it,Italiano,3,948
7,206647,de,Deutsch,4,948
8,49026,en,English,0,2796
9,49529,en,English,0,203
10,559,en,English,0,293
11,559,fr,Français,2,293
12,38757,en,English,0,2288
13,99861,en,English,0,788
14,767,en,English,0,417
15,209112,en,English,0,1855
16,1452,en,English,0,741
17,1452,fr,Français,2,741
18,1452,de,Deutsch,4,741
19,10764,en,English,0,1290
20,10764,es,Español,1,1290
21,10764,fr,Français,2,1290
22,10764,it,Italiano,3,1290
23,10764,de,Deutsch,4,1290
24,58,en,English,0,24
25,58,tr,Türkçe,5,24
26,58,el,ελληνικά,6,24
27,58,zh,普通话,7,24
28,57201,en,English,0,2785
29,49521,en,English,0,198
30,2454,en,English,0,1242
31,24428,en,English,0,2783
32,1865,en,English,0,957
33,1865,es,Español,1,957
34,41154,en,English,0,112
35,122917,en,English,0,19
36,1930,en,English,0,1576
37,20662,en,English,0,1848
38,20662,th,ภาษาไทย,8,1848
39,57158,en,English,0,2765
40,2268,en,English,0,1164
41,2268,fr,Français,2,1164
42,2268,is,Íslenska,9,1164
43,2268,ru,Pусский,10,1164
44,254,en,English,0,145
45,597,en,English,0,311
46,597,fr,Français,2,311
47,597,it,Italiano,3,311
48,597,de,Deutsch,4,311
49,597,ru,Pусский,10,311
50,597,sv,svenska,11,311
51,271110,en,English,0,424
52,271110,de,Deutsch,4,424
53,271110,ru,Pусский,10,424
54,271110,ro,Română,12,424
55,44833,en,English,0,1716
56,44833,th,ภาษาไทย,8,1716
57,135397,en,English,0,1858
58,37724,en,English,0,2036
59,558,en,English,0,292
60,558,zh,普通话,7,292
61,558,ru,Pусский,10,292
62,68721,en,English,0,1340
63,12155,en,English,0,1757
64,36668,en,English,0,1729
65,62211,en,English,0,2003
66,8373,en,English,0,103
67,8373,es,Español,1,103
68,91314,en,English,0,617
69,68728,en,English,0,1517
70,102382,en,English,0,1791
71,20526,en,English,0,1810
72,49013,en,English,0,2628
73,49013,fr,Français,2,2628
74,49013,it,Italiano,3,2628
75,49013,ja,日本語,13,2628
76,44912,en,English,0,1753
77,10193,en,English,0,2493
78,10193,es,Español,1,2493
79,534,en,English,0,282
80,534,it,Italiano,3,282
81,168259,en,English,0,1885
82,72190,en,English,0,2454
83,127585,en,English,0,1968
84,54138,en,English,0,2046
85,81005,en,English,0,2599
86,64682,en,English,0,2619
87,9543,en,English,0,686
88,68726,en,English,0,1515
89,38356,en,English,0,2179
90,217,en,English,0,124
91,217,de,Deutsch,4,124
92,217,ru,Pусский,10,124
93,105864,en,English,0,2687
94,62177,en,English,0,1988
95,188927,en,English,0,271
96,10681,en,English,0,1256
97,5174,en,English,0,2081
98,5174,fr,Français,2,2081
99,5174,zh,普通话,7,2081
100,5174,ja,日本語,13,2081
101,5174,la,Latin,14,2081
102,14161,en,English,0,2281
103,14161,fr,Français,2,2281
104,14161,it,Italiano,3,2281
105,14161,zh,普通话,7,2281
106,14161,ru,Pусский,10,2281
107,14161,la,Latin,14,2281
108,14161,hi,हिन्दी,15,2281
109,14161,pt,Português,16,2281
110,14161,bo,,17,2281
111,17979,en,English,0,2655
112,76757,en,English,0,1452
113,258489,en,English,0,1917
114,411,en,English,0,222
115,411,de,Deutsch,4,222
116,246655,en,English,0,497
117,155,en,English,0,83
118,155,zh,普通话,7,83
119,14160,en,English,0,1458
120,15512,en,English,0,2612
121,1726,en,English,0,882
122,1726,fa,فارسی,18,882
123,1726,ur,اردو,19,882
124,1726,ar,العربية,20,882
125,44826,en,English,0,1714
126,8487,en,English,0,165
127,1735,en,English,0,889
128,1735,zh,普通话,7,889
129,1735,sa,,21,889
130,297761,en,English,0,1376
131,2698,en,English,0,1334
132,137113,en,English,0,2302
133,9804,en,English,0,822
134,9804,es,Español,1,822
135,9804,de,Deutsch,4,822
136,14869,en,English,0,2461
137,14869,fr,Français,2,2461
138,14869,gd,,22,2461
139,150540,en,English,0,1474
140,278927,en,English,0,217
141,10138,en,English,0,1007
142,10138,fr,Français,2,1007
143,10138,ru,Pусский,10,1007
144,58595,en,English,0,639
145,102651,en,English,0,1862
146,119450,en,English,0,1977
147,64686,en,English,0,2621
148,64686,ja,日本語,13,2621
149,100402,en,English,0,1088
150,10192,en,English,0,1038
151,158852,en,English,0,1523
152,177572,en,English,0,2166
153,82690,en,English,0,420
154,5255,en,English,0,2102
155,47933,en,English,0,2261
156,10191,en,English,0,1037
157,296,en,English,0,1620
158,118340,en,English,0,1660
159,157336,en,English,0,860
160,27205,en,English,0,1311
161,27205,fr,Français,2,1311
162,27205,ja,日本語,13,1311
163,49051,en,English,0,2806
164,9799,en,English,0,818
165,4922,en,English,0,2027
166,49538,en,English,0,208
167,49538,es,Español,1,208
168,49538,fr,Français,2,208
169,49538,de,Deutsch,4,208
170,49538,ru,Pусский,10,208
171,131634,en,English,0,1572
172,27022,en,English,0,1240
173,503,en,English,0,264
174,503,es,Español,1,264
175,241259,en,English,0,1672
176,68735,en,English,0,1520
177,87101,en,English,0,2087
178,10140,en,English,0,1609
179,676,en,English,0,366
180,676,fr,Français,2,366
181,676,ja,日本語,13,366
182,1858,en,English,0,953
183,1858,es,Español,1,953
184,1966,en,English,0,1018
185,675,en,English,0,365
186,674,en,English,0,364
187,674,fr,Français,2,364
188,8960,en,English,0,418
189,8960,ja,日本語,13,418
190,6479,en,English,0,2403
191,118,en,English,0,63
192,2062,en,English,0,1077
193,272,en,English,0,156
194,272,zh,普通话,7,156
195,272,ur,اردو,19,156
196,10527,en,English,0,1193
197,10527,it,Italiano,3,1193
198,10527,th,ภาษาไทย,8,1193
199,18360,en,English,0,1025
200,2080,en,English,0,1082
201,605,en,English,0,316
202,605,fr,Français,2,316
203,109445,en,English,0,670
204,604,en,English,0,315
205,76338,en,English,0,1299
206,76341,en,English,0,1300
207,13448,en,English,0,2103
208,13448,fr,Français,2,2103
209,13448,it,Italiano,3,2103
210,13448,de,Deutsch,4,2103
211,13448,zh,普通话,7,2103
212,13448,la,Latin,14,2103
213,10195,en,English,0,1040
214,13053,en,English,0,1999
215,19585,en,English,0,2417
216,57165,en,English,0,2770
217,62213,en,English,0,2004
218,177677,en,English,0,1385
219,177677,de,Deutsch,4,1385
220,177677,sv,svenska,11,1385
221,5559,en,English,0,1483
222,49444,en,English,0,164
223,10196,en,English,0,1041
224,956,en,English,0,520
225,956,it,Italiano,3,520
226,956,de,Deutsch,4,520
227,956,zh,普通话,7,520
228,956,cs,Český,23,520
229,956,cn,广州话 / 廣州話,24,520
230,117251,en,English,0,2579
231,50321,en,English,0,599
232,11619,en,English,0,1585
233,266647,en,English,0,1907
234,82703,en,English,0,431
235,652,en,English,0,349
236,80321,en,English,0,2441
237,80321,es,Español,1,2441
238,80321,th,ภาษาไทย,8,2441
239,36669,en,English,0,2542
240,36669,es,Español,1,2542
241,36669,it,Italiano,3,2542
242,36669,de,Deutsch,4,2542
243,36669,is,Íslenska,9,2542
244,36669,cn,广州话 / 廣州話,24,2542
245,36669,ko,한국어/조선말,25,2542
246,43074,en,English,0,1095
247,95,en,English,0,47
248,95,ru,Pусский,10,47
249,608,en,English,0,319
250,2310,en,English,0,1186
251,140300,en,English,0,535
252,56292,en,English,0,2566
253,56292,fr,Français,2,2566
254,56292,ru,Pусский,10,2566
255,56292,sv,svenska,11,2566
256,56292,ar,العربية,20,2566
257,81188,en,English,0,2657
258,81188,fr,Français,2,2657
259,7552,en,English,0,2684
260,616,en,English,0,325
261,616,ja,日本語,13,325
262,147441,en,English,0,2824
263,13475,en,English,0,2109
264,557,en,English,0,291
265,82702,en,English,0,430
266,205584,en,English,0,432
267,10048,en,English,0,952
268,10048,es,Español,1,952
269,10048,de,Deutsch,4,952
270,10048,ru,Pусский,10,952
271,10048,ko,한국어/조선말,25,952
272,13183,en,English,0,2047
273,944,en,English,0,512
274,944,zh,普通话,7,512
275,944,cn,广州话 / 廣州話,24,512
276,1927,en,English,0,994
277,1927,es,Español,1,994
278,72559,en,English,0,602
279,7364,en,English,0,2629
280,7364,fr,Français,2,2629
281,7364,ar,العربية,20,2629
282,2114,en,English,0,1904
283,1771,en,English,0,907
284,1771,fr,Français,2,907
285,1771,no,Norsk,26,907
286,36643,en,English,0,1718
287,36643,ru,Pусский,10,1718
288,8619,en,English,0,232
289,8619,fr,Français,2,232
290,8619,pt,Português,16,232
291,50620,en,English,0,749
292,65759,en,English,0,128
293,1724,en,English,0,881
294,1724,es,Español,1,881
295,1724,pt,Português,16,881
296,267935,en,English,0,2240
297,281957,en,English,0,1586
298,281957,fr,Français,2,1586
299,77950,en,English,0,1830
300,44896,en,English,0,1745
301,270946,en,English,0,320
302,2503,en,English,0,1265
303,2503,es,Español,1,1265
304,2503,fr,Français,2,1265
305,2503,ru,Pусский,10,1265
306,2503,ar,العربية,20,1265
307,9502,en,English,0,669
308,102899,en,English,0,1972
309,101299,en,English,0,2397
310,228161,en,English,0,1596
311,74,en,English,0,33
312,8961,en,English,0,1945
313,8961,es,Español,1,1945
314,417859,en,English,0,28
315,417859,es,Español,1,28
316,27576,en,English,0,1437
317,27576,ru,Pусский,10,1437
318,27576,ko,한국어/조선말,25,1437
319,86834,en,English,0,2021
320,17578,en,English,0,612
321,673,en,English,0,363
322,6972,en,English,0,2522
323,6972,ja,日本語,13,2522
324,82700,en,English,0,429
325,10567,en,English,0,1209
326,181533,en,English,0,668
327,38055,en,English,0,2112
328,671,en,English,0,361
329,49524,en,English,0,200
330,22,en,English,0,10
331,131631,en,English,0,1567
332,591,en,English,0,307
333,591,es,Español,1,307
334,591,fr,Français,2,307
335,591,la,Latin,14,307
336,172385,en,English,0,191
337,172385,pt,Português,16,191
338,36658,en,English,0,1725
339,36658,it,Italiano,3,1725
340,36658,de,Deutsch,4,1725
341,51497,en,English,0,1198
342,51497,es,Español,1,1198
343,51497,it,Italiano,3,1198
344,51497,pt,Português,16,1198
345,58574,en,English,0,627
346,18823,en,English,0,1235
347,861,en,English,0,477
348,1911,en,English,0,1544
349,1911,no,Norsk,26,1544
350,49040,en,English,0,2678
351,49040,ru,Pусский,10,2678
352,415,en,English,0,224
353,8871,en,English,0,1790
354,435,en,English,0,236
355,435,es,Español,1,236
356,435,fr,Français,2,236
357,435,ja,日本語,13,236
358,435,ar,العربية,20,236
359,955,en,English,0,2217
360,2133,en,English,0,1108
361,1979,en,English,0,1026
362,1979,zh,普通话,7,1026
363,1979,ja,日本語,13,1026
364,1979,ar,العربية,20,1026
365,87827,en,English,0,2266
366,87827,fr,Français,2,2266
367,87827,zh,普通话,7,2266
368,87827,ja,日本語,13,2266
369,87827,hi,हिन्दी,15,2266
370,87827,ta,தமிழ்,27,2266
371,1250,en,English,0,638
372,324668,en,English,0,2086
373,9471,en,English,0,655
374,9471,es,Español,1,655
375,9471,zh,普通话,7,655
376,70981,en,English,0,2807
377,70981,gd,,22,2807
378,10996,en,English,0,1362
379,68724,en,English,0,1514
380,2789,en,English,0,1357
381,97020,en,English,0,2504
382,7459,en,English,0,2656
383,42888,en,English,0,1573
384,37834,en,English,0,2061
385,37834,es,Español,1,2061
386,37834,de,Deutsch,4,2061
387,75612,en,English,0,970
388,1895,en,English,0,977
389,1894,en,English,0,976
390,585,en,English,0,302
391,76170,en,English,0,1237
392,1893,en,English,0,975
393,49519,en,English,0,196
394,12100,en,English,0,1732
395,12100,ja,日本語,13,1732
396,12100,nv,,28,1732
397,290595,en,English,0,1244
398,98566,en,English,0,151
399,49047,en,English,0,2803
400,9619,en,English,0,199
401,308531,en,English,0,2761
402,166424,en,English,0,1294
403,1593,en,English,0,811
404,1593,it,Italiano,3,811
405,1593,he,עִבְרִית,29,811
406,254128,en,English,0,99
407,714,en,English,0,392
408,714,de,Deutsch,4,392
409,714,zh,普通话,7,392
410,714,cn,广州话 / 廣州話,24,392
411,714,da,Dansk,30,392
412,2024,en,English,0,1056
413,163,en,English,0,525
414,163,fr,Français,2,525
415,163,it,Italiano,3,525
416,163,zh,普通话,7,525
417,163,nl,Nederlands,31,525
418,787,en,English,0,2267
419,787,es,Español,1,2267
420,262500,en,English,0,192
421,2567,en,English,0,1286
422,38745,en,English,0,2284
423,40805,en,English,0,2779
424,40805,zh,普通话,7,2779
425,53182,en,English,0,1781
426,41513,en,English,0,288
427,13700,en,English,0,2161
428,13700,zh,普通话,7,2161
429,262504,en,English,0,194
430,39254,en,English,0,2404
431,77931,en,English,0,2196
432,1639,en,English,0,839
433,1639,pt,Português,16,839
434,80274,en,English,0,2422
435,1571,en,English,0,795
436,1571,fr,Français,2,795
437,1571,it,Italiano,3,795
438,120,en,English,0,64
439,10204,en,English,0,1048
440,10204,fr,Français,2,1048
441,10204,de,Deutsch,4,1048
442,10204,tr,Türkçe,5,1048
443,10204,hi,हिन्दी,15,1048
444,10204,cn,广州话 / 廣州話,24,1048
445,8489,en,English,0,167
446,2048,en,English,0,1068
447,1495,en,English,0,762
448,1495,it,Italiano,3,762
449,1495,la,Latin,14,762
450,1495,ar,العربية,20,762
451,10137,en,English,0,1006
452,10198,en,English,0,1043
453,10198,fr,Français,2,1043
454,286217,en,English,0,2709
455,286217,zh,普通话,7,2709
456,1635,en,English,0,836
457,9679,en,English,0,399
458,98,en,English,0,49
459,180,en,English,0,102
