uid,sid,rating
0,252,1
0,251,1
0,250,1
0,12,1
0,249,1
0,248,1
1,0,1
1,579,1
1,1,1
2,328,1
2,3,1
2,620,1
2,411,1
2,724,1
2,4,1
2,434,1
2,2,1
3,5,1
3,7,1
3,712,1
3,371,1
4,178,1
4,235,1
4,854,1
4,4,1
5,152,1
5,10,1
5,372,1
5,153,1
5,371,1
6,14,1
6,15,1
6,554,1
6,426,1
6,13,1
7,16,1
7,22,1
7,23,1
7,24,1
7,218,1
7,51,1
8,31,1
8,224,1
8,30,1
8,29,1
9,27,1
9,235,1
9,26,1
9,25,1
9,49,1
10,238,1
10,425,1
10,431,1
10,0,1
10,230,1
10,47,1
10,558,1
10,246,1
11,34,1
11,267,1
11,35,1
11,33,1
12,391,1
12,342,1
12,2,1
12,352,1
13,37,1
13,39,1
13,36,1
13,38,1
13,18,1
13,40,1
14,22,1
14,23,1
14,152,1
14,24,1
14,218,1
14,217,1
14,184,1
14,51,1
15,41,1
15,9,1
15,42,1
15,19,1
16,803,1
16,46,1
16,45,1
17,49,1
17,726,1
17,47,1
17,42,1
17,48,1
17,33,1
18,887,1
18,55,1
18,862,1
18,789,1
19,34,1
19,803,1
19,57,1
19,59,1
19,33,1
19,58,1
20,60,1
21,86,1
21,87,1
22,34,1
22,874,1
22,759,1
22,61,1
22,62,1
22,761,1
23,856,1
23,65,1
23,70,1
23,68,1
23,64,1
23,204,1
23,67,1
23,655,1
24,78,1
25,76,1
25,71,1
25,74,1
25,72,1
25,75,1
25,73,1
26,0,1
26,689,1
27,139,1
27,689,1
28,78,1
29,80,1
29,587,1
29,0,1
29,79,1
30,0,1
30,81,1
31,0,1
31,83,1
31,79,1
31,82,1
32,84,1
32,85,1
33,89,1
33,92,1
33,93,1
33,514,1
33,841,1
33,12,1
33,88,1
33,90,1
33,11,1
33,851,1
33,472,1
33,153,1
34,426,1
34,84,1
34,226,1
34,94,1
35,98,1
35,95,1
35,97,1
35,862,1
35,96,1
35,686,1
36,103,1
36,102,1
36,100,1
36,101,1
37,106,1
37,52,1
37,105,1
37,2,1
38,177,1
38,108,1
38,107,1
39,109,1
39,686,1
40,103,1
40,102,1
40,43,1
40,113,1
40,112,1
40,100,1
40,111,1
40,110,1
41,222,1
41,115,1
41,116,1
41,114,1
42,120,1
42,117,1
42,118,1
42,119,1
43,510,1
43,593,1
43,91,1
43,125,1
43,121,1
43,123,1
43,124,1
43,11,1
44,127,1
44,128,1
44,154,1
44,113,1
44,678,1
44,126,1
44,129,1
45,130,1
45,131,1
45,132,1
45,82,1
46,133,1
46,21,1
46,135,1
46,134,1
47,22,1
47,138,1
47,137,1
47,21,1
47,15,1
47,690,1
47,8,1
47,18,1
47,19,1
47,79,1
48,22,1
48,138,1
48,136,1
48,137,1
48,21,1
48,140,1
48,142,1
48,8,1
48,18,1
48,79,1
48,141,1
49,22,1
49,138,1
49,20,1
49,137,1
49,21,1
49,15,1
49,140,1
49,690,1
49,142,1
49,18,1
49,19,1
49,79,1
50,620,1
50,125,1
50,143,1
50,144,1
50,145,1
51,146,1
51,75,1
51,148,1
51,147,1
51,149,1
52,674,1
52,25,1
52,150,1
52,660,1
52,325,1
53,163,1
53,747,1
53,666,1
53,25,1
53,161,1
53,786,1
53,162,1
54,158,1
54,157,1
55,159,1
55,127,1
55,146,1
55,160,1
56,158,1
56,157,1
57,272,1
57,273,1
57,14,1
57,34,1
57,183,1
57,161,1
57,361,1
57,150,1
57,426,1
57,639,1
58,158,1
58,157,1
58,107,1
59,43,1
59,143,1
59,165,1
59,164,1
59,168,1
59,131,1
59,117,1
59,166,1
60,16,1
60,172,1
60,380,1
60,169,1
60,171,1
61,167,1
61,174,1
61,143,1
61,165,1
61,164,1
61,168,1
61,131,1
61,12,1
61,175,1
61,173,1
61,117,1
61,166,1
62,177,1
62,108,1
62,18,1
62,712,1
62,107,1
63,178,1
63,180,1
63,121,1
63,182,1
63,181,1
64,158,1
64,157,1
65,682,1
65,187,1
65,186,1
66,184,1
66,183,1
66,185,1
67,188,1
67,158,1
67,157,1
68,188,1
68,158,1
68,44,1
68,200,1
68,189,1
69,186,1
69,190,1
69,191,1
70,121,1
70,192,1
70,352,1
71,898,1
71,201,1
71,203,1
71,202,1
72,196,1
72,877,1
72,381,1
72,861,1
72,11,1
72,144,1
73,20,1
73,143,1
73,198,1
73,199,1
73,550,1
74,205,1
74,206,1
74,345,1
74,52,1
74,204,1
75,34,1
75,207,1
75,208,1
75,211,1
75,30,1
75,867,1
75,345,1
76,841,1
76,31,1
76,639,1
76,209,1
76,18,1
76,211,1
76,350,1
76,12,1
76,817,1
76,603,1
76,210,1
77,713,1
77,597,1
77,552,1
77,209,1
77,49,1
77,518,1
77,12,1
77,817,1
77,107,1
78,214,1
78,215,1
78,894,1
78,157,1
79,176,1
79,219,1
79,107,1
80,185,1
80,129,1
80,220,1
80,83,1
81,221,1
81,179,1
81,214,1
81,894,1
82,214,1
82,894,1
82,222,1
83,223,1
83,213,1
83,214,1
83,894,1
84,52,1
84,105,1
85,167,1
85,104,1
85,155,1
85,862,1
86,192,1
86,78,1
87,191,1
88,191,1
89,54,1
89,20,1
89,491,1
89,0,1
89,340,1
90,187,1
90,109,1
90,228,1
90,229,1
91,99,1
92,26,1
92,56,1
93,232,1
93,61,1
93,231,1
94,239,1
94,41,1
94,235,1
94,236,1
94,44,1
94,143,1
94,164,1
94,144,1
94,181,1
95,240,1
95,225,1
95,241,1
96,247,1
96,246,1
96,245,1
96,114,1
97,319,1
97,247,1
97,246,1
97,52,1
97,114,1
98,131,1
98,247,1
98,114,1
99,856,1
99,63,1
99,257,1
99,240,1
99,173,1
100,259,1
100,258,1
100,242,1
101,620,1
101,215,1
101,262,1
101,261,1
102,477,1
102,469,1
102,468,1
103,265,1
103,263,1
103,856,1
103,264,1
104,239,1
104,207,1
105,266,1
106,206,1
106,268,1
106,64,1
106,45,1
107,272,1
107,273,1
107,14,1
107,34,1
107,183,1
107,897,1
107,111,1
107,275,1
107,74,1
108,589,1
108,287,1
108,106,1
108,145,1
108,567,1
108,269,1
109,216,1
109,547,1
109,281,1
109,280,1
110,34,1
110,365,1
110,366,1
110,284,1
111,282,1
111,109,1
111,55,1
111,283,1
111,686,1
112,16,1
112,22,1
112,23,1
112,152,1
112,216,1
112,218,1
112,184,1
112,51,1
113,290,1
114,109,1
115,288,1
115,43,1
115,287,1
115,309,1
116,167,1
116,143,1
116,165,1
116,168,1
116,131,1
116,175,1
116,166,1
116,114,1
116,672,1
117,292,1
118,84,1
118,119,1
119,34,1
119,38,1
119,297,1
119,298,1
119,295,1
120,731,1
120,303,1
120,195,1
120,304,1
121,14,1
121,205,1
121,43,1
121,230,1
121,254,1
121,341,1
121,648,1
121,307,1
121,305,1
122,590,1
122,639,1
122,192,1
122,826,1
122,114,1
122,56,1
123,238,1
123,63,1
123,308,1
123,202,1
123,309,1
124,205,1
124,697,1
124,727,1
124,398,1
125,314,1
125,289,1
125,734,1
125,313,1
125,312,1
126,314,1
126,317,1
126,123,1
126,11,1
126,318,1
127,276,1
127,313,1
127,312,1
128,447,1
128,80,1
128,296,1
128,311,1
128,123,1
128,489,1
128,360,1
128,276,1
128,766,1
128,504,1
129,271,1
130,201,1
130,61,1
130,111,1
130,484,1
131,476,1
131,319,1
131,15,1
131,320,1
132,163,1
132,208,1
132,322,1
132,321,1
133,206,1
133,306,1
133,115,1
133,268,1
134,16,1
134,323,1
134,398,1
135,324,1
135,61,1
135,325,1
135,294,1
136,328,1
136,44,1
136,106,1
136,327,1
136,210,1
136,181,1
137,33,1
138,16,1
138,330,1
138,80,1
138,72,1
139,31,1
139,224,1
139,30,1
139,29,1
140,113,1
140,335,1
140,334,1
140,229,1
141,695,1
141,332,1
141,124,1
141,761,1
141,203,1
142,338,1
142,91,1
142,306,1
142,300,1
142,107,1
143,15,1
143,26,1
143,70,1
143,876,1
143,333,1
144,34,1
144,81,1
145,336,1
145,328,1
145,337,1
146,274,1
146,54,1
146,244,1
146,339,1
146,340,1
147,201,1
147,38,1
147,341,1
147,268,1
147,855,1
148,143,1
148,224,1
148,29,1
148,268,1
149,328,1
149,344,1
149,20,1
149,93,1
149,146,1
149,343,1
150,265,1
150,264,1
151,336,1
151,274,1
151,207,1
151,369,1
152,347,1
152,856,1
152,694,1
152,348,1
152,346,1
152,564,1
153,33,1
154,212,1
155,349,1
156,15,1
156,25,1
156,353,1
156,354,1
157,767,1
158,545,1
158,237,1
158,176,1
159,356,1
159,95,1
159,44,1
159,357,1
159,42,1
160,180,1
160,708,1
160,317,1
160,354,1
160,359,1
160,360,1
160,346,1
161,23,1
161,126,1
162,279,1
162,361,1
162,117,1
162,269,1
163,363,1
163,263,1
163,154,1
163,112,1
163,374,1
163,202,1
163,680,1
164,116,1
165,205,1
165,234,1
165,268,1
165,364,1
165,242,1
166,152,1
166,89,1
166,165,1
166,164,1
166,192,1
166,368,1
167,384,1
167,43,1
167,240,1
167,381,1
167,294,1
167,172,1
167,382,1
167,203,1
167,202,1
167,385,1
168,370,1
169,575,1
169,553,1
169,319,1
169,365,1
169,841,1
169,5,1
169,10,1
169,373,1
169,7,1
169,132,1
170,91,1
170,31,1
170,249,1
170,28,1
171,375,1
171,376,1
171,241,1
171,357,1
172,377,1
172,378,1
172,379,1
172,380,1
173,274,1
173,301,1
173,389,1
173,390,1
173,783,1
173,329,1
173,337,1
173,88,1
173,617,1
173,48,1
173,733,1
173,258,1
174,388,1
174,128,1
174,400,1
174,117,1
175,64,1
175,141,1
175,67,1
175,107,1
176,218,1
176,127,1
176,387,1
176,386,1
176,557,1
177,16,1
177,392,1
177,146,1
177,69,1
177,326,1
178,641,1
178,299,1
178,52,1
178,393,1
179,81,1
179,1,1
179,395,1
179,394,1
180,80,1
180,115,1
180,310,1
181,336,1
181,133,1
182,850,1
182,656,1
182,133,1
182,692,1
182,290,1
182,109,1
183,288,1
183,384,1
183,381,1
183,397,1
183,726,1
183,851,1
183,149,1
183,231,1
184,405,1
184,235,1
184,286,1
184,312,1
185,14,1
185,328,1
185,402,1
185,234,1
185,230,1
185,306,1
185,112,1
185,401,1
186,43,1
186,404,1
186,86,1
186,623,1
186,403,1
187,682,1
187,328,1
187,197,1
187,37,1
187,604,1
187,657,1
187,338,1
187,453,1
187,406,1
187,516,1
188,575,1
188,328,1
188,37,1
188,604,1
188,657,1
188,658,1
188,338,1
188,453,1
188,530,1
188,80,1
188,683,1
188,666,1
189,328,1
189,659,1
189,197,1
189,37,1
189,604,1
189,656,1
189,221,1
189,657,1
189,658,1
189,338,1
189,530,1
189,516,1
190,301,1
190,12,1
190,712,1
190,840,1
191,366,1
191,568,1
191,255,1
191,675,1
192,418,1
192,187,1
192,5,1
192,7,1
192,308,1
192,583,1
192,283,1
193,165,1
193,289,1
193,862,1
193,407,1
193,364,1
193,231,1
194,896,1
194,241,1
195,273,1
195,677,1
196,130,1
196,408,1
197,414,1
197,413,1
197,416,1
197,156,1
197,74,1
197,368,1
197,380,1
197,417,1
198,409,1
198,122,1
198,91,1
198,324,1
198,556,1
198,793,1
198,881,1
198,748,1
198,872,1
198,410,1
199,347,1
199,823,1
199,420,1
199,294,1
199,276,1
199,52,1
199,717,1
200,422,1
200,133,1
200,279,1
200,135,1
200,243,1
200,134,1
200,421,1
200,67,1
201,8,1
201,424,1
201,423,1
202,201,1
202,427,1
202,311,1
202,123,1
202,4,1
202,428,1
202,321,1
202,242,1
203,356,1
203,136,1
203,80,1
203,104,1
204,0,1
204,246,1
204,35,1
205,432,1
205,208,1
205,5,1
205,173,1
206,246,1
207,429,1
207,358,1
207,267,1
207,187,1
207,140,1
207,188,1
207,430,1
207,731,1
208,855,1
209,233,1
209,314,1
209,442,1
209,224,1
209,894,1
209,199,1
209,162,1
210,238,1
210,137,1
210,362,1
210,72,1
211,238,1
211,454,1
211,137,1
211,362,1
211,455,1
211,72,1
212,238,1
212,454,1
212,137,1
212,362,1
212,724,1
212,72,1
212,195,1
213,286,1
213,321,1
214,233,1
214,193,1
214,392,1
214,291,1
214,595,1
214,371,1
215,233,1
215,193,1
215,291,1
215,350,1
215,40,1
215,458,1
215,602,1
216,24,1
216,435,1
216,436,1
216,434,1
217,265,1
218,433,1
219,450,1
219,449,1
219,61,1
219,262,1
220,146,1
220,308,1
220,380,1
220,231,1
221,98,1
221,130,1
221,736,1
221,326,1
222,438,1
223,16,1
223,439,1
224,243,1
224,113,1
225,37,1
225,445,1
225,61,1
225,250,1
225,200,1
225,444,1
226,178,1
226,447,1
226,315,1
226,112,1
226,317,1
226,393,1
226,364,1
227,54,1
227,337,1
227,448,1
227,258,1
228,409,1
228,1,1
228,331,1
229,453,1
229,451,1
229,425,1
229,358,1
229,5,1
229,306,1
229,452,1
229,798,1
230,658,1
230,404,1
230,851,1
230,116,1
230,293,1
231,593,1
231,286,1
231,456,1
231,266,1
232,447,1
232,41,1
232,207,1
232,457,1
232,185,1
232,192,1
232,321,1
233,82,1
233,469,1
233,468,1
234,238,1
234,463,1
234,460,1
234,462,1
234,461,1
234,464,1
235,22,1
235,467,1
235,43,1
235,8,1
235,466,1
235,185,1
235,129,1
236,268,1
237,471,1
237,82,1
237,469,1
237,468,1
238,471,1
238,82,1
238,469,1
238,468,1
239,471,1
239,82,1
239,469,1
239,468,1
240,212,1
240,191,1
241,187,1
241,190,1
241,124,1
242,471,1
242,82,1
242,469,1
242,468,1
243,471,1
243,469,1
243,468,1
244,493,1
244,496,1
244,174,1
244,492,1
244,301,1
244,60,1
244,508,1
244,494,1
244,320,1
244,440,1
245,493,1
245,495,1
245,496,1
245,174,1
245,492,1
245,301,1
245,509,1
245,508,1
245,494,1
245,514,1
245,440,1
245,360,1
246,493,1
246,495,1
246,344,1
246,492,1
246,301,1
246,450,1
246,510,1
246,60,1
246,509,1
246,508,1
246,494,1
246,389,1
247,336,1
247,14,1
247,493,1
247,495,1
247,344,1
247,174,1
247,301,1
247,450,1
247,509,1
247,508,1
247,783,1
247,514,1
